Treatment,time,logB1,logB2,logB3,logA
Early,6,0.618307,0.592186,0.645986,0.87279
Early,9,1.02893,1.06471,1.01339,0.424712
Early,12,0.994658,0.983051,1.05973,-1.55534
Early,15,1.05152,0.983416,0.908111,-0.695098
Early,18,0.846355,0.974269,0.904413,
Early,21,0.723063,0.805485,0.751509,
Early,24,0.689824,0.696888,0.685623,
Early,27,0.658967,0.628144,0.601827,
Early,30,0.5611,0.582111,0.458467,
Early,33,0.436805,0.400604,0.440984,
Early,36,0.294066,0.359572,0.356643,
Early,39,0.25216,0.214981,0.247568,
Early,42,0.121627,0.108433,0.187433,
Early,45,0.029532,0.143514,0.120829,
Early,48,-0.10609,0.00740748,-0.0612848,
Late,12,0.558655,0.619544,0.512372,
Late,15,0.761926,0.670076,0.70846,
Late,18,0.665886,0.780346,0.73632,
Late,21,0.766747,0.677256,0.68741,
Late,24,0.607722,0.535357,0.562186,
Late,27,0.546973,0.459626,0.488894,
Late,30,0.389318,0.42084,0.372133,
Late,33,0.292474,0.312211,0.305243,
Late,36,0.166036,0.254074,0.144361,
Late,39,0.0581972,0.0541284,0.166602,
Late,42,0.00909416,-0.0214272,-0.0296765,
Late,45,-0.042989,-0.116788,-0.127649,
Late,48,-0.124534,-0.215069,-0.171356,
